R,G,B,C,sum,Temp,Lux,Name
189,272,188,686,1335,5180,230,PLT 
189,272,188,686,1335,5180,230,PLT 
190,273,188,687,1338,5160,231,PLT 
190,273,189,688,1340,5180,230,PLT 
190,273,189,687,1339,5180,230,PLT 
189,273,188,687,1337,5180,231,PLT 
189,273,188,687,1337,5180,231,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,686,1335,5180,230,PLT 
189,272,188,686,1335,5180,230,PLT 
189,272,188,686,1335,5180,230,PLT 
189,272,188,686,1335,5180,230,PLT 
190,272,188,686,1336,5160,230,PLT 
190,272,188,687,1337,5160,230,PLT 
190,273,188,687,1338,5160,231,PLT 
190,273,188,687,1338,5160,231,PLT 
190,273,188,687,1338,5160,231,PLT 
190,272,188,687,1337,5160,230,PLT 
190,272,188,686,1336,5160,230,PLT 
190,272,188,686,1336,5160,230,PLT 
189,272,188,686,1335,5180,230,PLT 
189,272,188,686,1335,5180,230,PLT 
189,272,188,686,1335,5180,230,PLT 
189,272,188,686,1335,5180,230,PLT 
